FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,DISTANCE
2018-01-01,UA,19977,UA,2429,11618,1161802,31703,EWR,11292,1129202,30325,DEN,1517,1512,-5.00,15.00,1527,1712,10.00,1745,1722,-23.00,0.00,,0.00,1605.00
2018-01-01,UA,19977,UA,2427,12889,1288903,32211,LAS,14771,1477104,32457,SFO,1115,1107,-8.00,11.00,1118,1223,7.00,1254,1230,-24.00,0.00,,0.00,414.00
2018-01-01,UA,19977,UA,2426,14908,1490803,32575,SNA,11292,1129202,30325,DEN,1335,1330,-5.00,15.00,1345,1631,5.00,1649,1636,-13.00,0.00,,0.00,846.00
2018-01-01,UA,19977,UA,2425,14635,1463502,31714,RSW,13930,1393006,30977,ORD,1546,1552,6.00,19.00,1611,1748,6.00,1756,1754,-2.00,0.00,,0.00,1120.00
2018-01-01,UA,19977,UA,2424,13930,1393006,30977,ORD,10257,1025702,30257,ALB,0630,0650,20.00,13.00,0703,0926,10.00,0922,0936,14.00,0.00,,0.00,723.00
2018-01-01,UA,19977,UA,2422,13930,1393006,30977,ORD,13871,1387102,33316,OMA,2241,2244,3.00,15.00,2259,0001,2.00,0014,0003,-11.00,0.00,,0.00,416.00
2018-01-01,UA,19977,UA,2421,12266,1226603,31453,IAH,12889,1288903,32211,LAS,0750,0747,-3.00,14.00,0801,0854,6.00,0916,0900,-16.00,0.00,,0.00,1222.00
2018-01-01,UA,19977,UA,2420,11292,1129202,30325,DEN,11003,1100303,31003,CID,1324,1318,-6.00,11.00,1329,1554,6.00,1619,1600,-19.00,0.00,,0.00,692.00
2018-01-01,UA,19977,UA,2419,14893,1489302,33192,SMF,11618,1161802,31703,EWR,2224,2237,13.00,10.00,2247,0627,9.00,0638,0636,-2.00,0.00,,0.00,2500.00
2018-01-01,UA,19977,UA,2418,14524,1452401,34524,RIC,11292,1129202,30325,DEN,1601,1559,-2.00,12.00,1611,1748,8.00,1813,1756,-17.00,0.00,,0.00,1482.00
